date,user_id,question,reponse,erreur
2026-05-04 09:12:00,u001,Comment réinitialiser mon mot de passe ?,Pour réinitialiser votre mot de passe cliquez sur "Mot de passe oublié" sur la page de connexion puis suivez le lien reçu par email.,
2026-05-04 09:15:00,u001,Je n'ai pas reçu l'email de réinitialisation,Vérifiez votre dossier spam. Si rien n'arrive sous 10 minutes nous pouvons relancer l'envoi depuis votre espace.,
2026-05-04 10:03:00,u002,Quels sont vos horaires d'ouverture ?,Notre support est joignable du lundi au vendredi de 9h à 18h.,
2026-05-04 10:30:00,u003,Ma facture du mois est incorrecte,Je comprends votre inquiétude. Pouvez-vous préciser le montant attendu afin que je transmette au service facturation ?,
2026-05-04 11:45:00,u003,Je veux un remboursement,,
2026-05-04 14:20:00,u004,Bonjour,Bonjour ! Comment puis-je vous aider aujourd'hui ?,
2026-05-04 14:22:00,u004,Où en est ma commande 48213 ?,Votre commande 48213 a été expédiée le 3 mai et doit arriver sous 48h.,
2026-05-04 16:05:00,u005,L'application plante au démarrage,Désolé,
2026-05-05 08:50:00,u006,Comment contacter un conseiller ?,Vous pouvez demander un conseiller en tapant "agent" ou nous appeler au numéro indiqué sur votre espace client.,
2026-05-05 09:10:00,u002,Comment réinitialiser mon mot de passe ?,Cliquez sur "Mot de passe oublié" puis suivez les instructions envoyées par email.,
2026-05-05 09:40:00,u007,Puis-je changer mon adresse de livraison ?,Oui tant que la commande n'est pas expédiée vous pouvez modifier l'adresse depuis le suivi de commande.,
2026-05-05 11:15:00,u008,Vous êtes nuls,Je suis navré de votre expérience. Dites-moi ce qui s'est passé et je ferai de mon mieux pour vous aider.,
2026-05-05 11:30:00,u008,Je veux parler à un humain,Je vous mets en relation avec un conseiller disponible.,
2026-05-05 13:00:00,u009,Quel est le délai de livraison standard ?,Le délai standard est de 3 à 5 jours ouvrés en France métropolitaine.,
2026-05-05 15:25:00,u010,azertyuiop,Je n'ai pas compris votre demande pouvez-vous reformuler ?,
2026-05-05 17:40:00,u011,Comment télécharger ma facture ?,Rendez-vous dans "Mes factures" puis cliquez sur l'icône de téléchargement à droite de la ligne concernée.,
2026-05-06 08:05:00,u012,Le paiement par carte est refusé,Vérifiez la date d'expiration et le plafond de votre carte. Si le problème persiste essayez un autre moyen de paiement.,
2026-05-06 09:55:00,u013,Proposez-vous une offre entreprise ?,Oui nous avons des offres dédiées aux entreprises avec facturation centralisée et support prioritaire.,
2026-05-06 10:20:00,u013,Quel est le prix exact de l'offre entreprise ?,Le tarif dépend du nombre d'utilisateurs ; un conseiller commercial peut vous établir un devis.,
2026-05-06 12:10:00,u014,Merci beaucoup pour votre aide,Avec plaisir ! Bonne journée.,
2026-05-06 14:35:00,u015,Mon colis est marqué livré mais je n'ai rien reçu,Je suis désolé pour ce désagrément. Vérifiez auprès de vos voisins puis ouvrons une réclamation auprès du transporteur si besoin.,
2026-05-06 16:50:00,u016,Comment supprimer mon compte ?,Vous pouvez demander la suppression depuis Paramètres > Confidentialité ; la suppression est définitive sous 30 jours.,
2026-05-07 08:30:00,u017,Je n'arrive pas à me connecter,Aucune information,1
2026-05-07 09:20:00,u018,Avez-vous une application mobile ?,Oui notre application est disponible sur iOS et Android.,
2026-05-07 10:45:00,u019,Comment postuler à une offre d'emploi ?,Rendez-vous sur notre page Carrières sélectionnez l'offre puis cliquez sur "Postuler" pour déposer votre CV.,
2026-05-07 11:05:00,u019,Avez-vous des stages disponibles ?,Nos offres de stage sont publiées sur la page Carrières et mises à jour chaque semaine.,
2026-05-07 13:25:00,u020,Le site est en panne,Nous rencontrons effectivement un incident en cours de résolution. Merci de réessayer dans quelques minutes.,1
2026-05-07 15:00:00,u021,Comment activer la double authentification ?,Dans Paramètres > Sécurité activez "Double authentification" puis scannez le QR code avec votre application d'authentification.,
2026-05-07 16:15:00,u022,Pouvez-vous me dire la météo demain ?,Je ne suis pas en mesure de répondre à cette question.,
2026-05-07 17:30:00,u023,Quels moyens de paiement acceptez-vous ?,Nous acceptons les cartes Visa Mastercard ainsi que PayPal et le virement SEPA.,
